#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/
#dcterms:license: CC-0
#version: 2.0.0
#creator_id:
#  - https://orcid.org/0000-0002-3237-4547
#  - https://orcid.org/0000-0002-4366-3088
#  - https://orcid.org/0000-0002-8083-6048
#  - https://orcid.org/0000-0001-9625-1899
#  - https://orcid.org/0000-0001-7087-2646
#  - https://orcid.org/0000-0002-2996-719X
#  - https://orcid.org/0000-0002-6601-2165
#  - https://orcid.org/0000-0002-4236-0384
#  - https://orcid.org/0000-0001-6215-3617
#  - https://orcid.org/0000-0003-1691-239X
#  - https://orcid.org/0000-0001-9401-8460
#  - https://orcid.org/0000-0003-3770-3714
#  - https://orcid.org/0000-0001-8815-0078
#  - https://orcid.org/0000-0003-1144-0290
#creator_name:
#  - Ward Appeltans
#  - Pier Luigi Buttigieg
#  - Mariya Dimitrova
#  - Willam D. Duncan
#  - Yi-Ming Gan
#  - Raïssa Meyer
#  - Christopher Mungall
#  - Pieter Provoost
#  - Tim Robertson
#  - Thomas Stjernegaard Jeppesen
#  - Saara Suominen
#  - Maxime Sweetlove
#  - Ramona L. Walls
#  - John Wieczorek
#curie_map:
#  - dwc: http://rs.tdwg.org/dwc/terms/
#  - dwcversion: http://rs.tdwg.org/dwc/terms/version/
#  - dcterms: http://purl.org/dc/terms/
#  - dcversion: http://dublincore.org/usage/terms/history/
#  - MIXS: https://w3id.org/gensc/terms/MIXS:
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs-legacy/blob/master/mixs5/
#  - orcid: https://orcid.org/
#  - skos: http://www.w3.org/2004/02/skos/core
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	match_type	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	comment
dwc:minimumDistanceAboveSurfaceInMeters	Minimum Distance Above Surface in Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch		alt	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-2996-719X	dwc:minimumDistanceAboveSurfaceInMeters	dwcversion:minimumDistanceAboveSurfaceInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2022-04-08	1	dwc:minimumDistanceAboveSurfaceInMeters is broader than MIxS:alt as it allows for both altitude and depth values (using positive and negative values, respectively), while the MIxS:alt definition only allows for altitude ("above" the earth's surface). Note that this competes with the MIxS:alt field allowing ranges or single points (clarified in https://github.com/GenomicsStandardsConsortium/mixs/issues/389), while DwC expects only the upper depth/lower altitude limit (this could also be used to justify a broadMatch predicate). However, in this mapping we made the conscious decision to view the flipping between altitude and depth as more consequential. This is a matter of choice rather than an objective rationale. Note that in DwC, a range of altitude can be captured in the combination of the terms dwc:minimumDistanceAboveSurfaceInMeters and dwc:maximumDistanceAbveSurfaceInMeters. If a single value is given, the same value should be used in both DwC terms.
dwc:maximumDistanceAboveSurfaceInMeters	Maximum Distance Above Surface in Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch		alt	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-2996-719X	dwc:maximumDistanceAboveSurfaceInMeters	dwcversion:maximumDistanceAboveSurfaceInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2022-04-08	1	dwc:maximumDistanceAboveSurfaceInMeters is broader than MIxS:alt as it allows for both altitude and depth values (using positive and negative values, respectively), while the MIxS:alt definition only allows for altitude ("above" the earth's surface). Note that this competes with the MIxS:alt field allowing ranges or single points (clarified in https://github.com/GenomicsStandardsConsortium/mixs/issues/389), while DwC expects only the upper depth/lower altitude limit (this could also be used to justify a broadMatch predicate). However, in this mapping we made the conscious decision to view the flipping between altitude and depth as more consequential. This is a matter of choice rather than an objective rationale. Note that in DwC, a range of altitude can be captured in the combination of the terms dwc:minimumDistanceAboveSurfaceInMeters and dwc:maximumDistanceAbveSurfaceInMeters. If a single value is given, the same value should be used in both DwC terms.
dwc:verbatimElevation	Verbatim Elevation	https://dwc.tdwg.org/list/#dcterms_Location	skos:exactMatch	MIXS:0000093	elev	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:verbatimElevation	dwcversion:verbatimElevation-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	1	Note that the MIxS term definition loosely distinguishes between elevation and altitude (Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.), while the DwC term definition essentially equates them.
dwc:minimumElevationInMeters	Minimum Elevation in Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000093	elev	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:minimumElevationInMeters	dwcversion:minimumElevationInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	DwC expects only the lower elevation limit in meter (narrower), while MIxS expects a single point or range of elevation measurement(s) at which the sample was taken.
dwc:maximumElevationInMeters	Maximum Elevation in Meters	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000093	elev	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:maximumElevationInMeters	dwcversion:maximumElevationInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	DwC expects only the upper elevation limit in meter (narrower), while MIxS expects a single point or range of elevation measurement(s) at which the sample was taken.
dwc:country	Country	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000010	geo_loc_name	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:country	dwcversion:country-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	the MIxS term includes both seas and countries, while DwC only refers to the country
dwc:waterBody	Water Body	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	MIXS:0000010	geo_loc_name	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:waterBody	dwcversion:waterBody-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	the MIxS term includes both seas and countries, while DwC only refers to the sea.
dwc:higherGeography	Higher Geography	https://dwc.tdwg.org/list/#dcterms_Location	skos:exactMatch	MIXS:0000010	geo_loc_name	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:higherGeography	dwcversion:higherGeography-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	0.7	DwC term encompasses any combination of geographic region names, while the MIxS term may either be the name of a country or a sea, followed by additional region information
dwc:eventDate	Event Date	http://rs.tdwg.org/dwc/terms/Event	skos:narrowMatch	MIXS:0000011	collection_date	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-2996-719X	dwc:eventDate	dwcversion:eventDate-2020-08-12	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	Events are semantically broader than sampling events (e.g. they could include observations too)
dwc:materialSampleID	Material Sample ID	http://rs.tdwg.org/dwc/terms/MaterialSample	skos:exactMatch	MIXS:0000026	source_mat_id	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:materialSampleID	dwcversion:materialSampleID-2020-10-28	MIXSversion:mixs_v5.xlsx	5	2021-02-09	1	
dwc:associatedOrganisms	Associated Organisms	http://rs.tdwg.org/dwc/terms/Organism	skos:broadMatch	MIXS:0000028	biotic_relationship	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-2996-719X	dwc:associatedOrganisms	dwcversion:associatedOrganisms-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	0.7	The range of the MIxS examples is [free living|parasitism|commensalism|symbiotic|mutualism]. While the expectation created by the MIxS definition [parasite on species X; mutualist with species Y] would exactly match the DwC term, the examples given by MIxS do not. We’ve opened an issue requesting this mismatch to be fixed on the GSC/MIxS issue tracker: https://github.com/GenomicsStandardsConsortium/mixs/issues/168. Focusing on the MIxS value syntax, it seems that the MIxS term is broader than the DwC term, as the latter will be more precise in any arbitrary case. E.g. Some worm is a parasite of a clam: DwC would capture parasite of clam, while MIxS would capture parasite of. One could also capture relationships with more metadata about the assertion using the ResourceRelationship extension to Darwin Core.
dwc:samplingProtocol	Sampling Protocol	http://rs.tdwg.org/dwc/terms/Event	skos:broadMatch	MIXS:0000002	samp_collect_device	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-2996-719X | orcid:0000-0002-4366-3088	dwc:samplingProtocol	dwcversion:samplingProtocol-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2022-04-08	1	dwc:samplingProtocol covers both of the concepts samp_collect_device and samp_collect_process. , however,   the MIxS samp_collect_device field can accept either a reference to a protocol or a device, making it broader than the DwC field that only accepts protocol references. Based on the examples these could also be skos:exactMatch, but we are focusing on the definition for the semantic mapping. Please also note that the information that the dwc term and the samp_mat_process capture is often captured in the method steps in the EML (metadata about the dataset, not indexed in GBIF’s case), and less in the DwC terms themselves. This influences how people will use the terms in reality.
dwc:samplingProtocol	Sampling Protocol	http://rs.tdwg.org/dwc/terms/Event	skos:narrowMatch	MIXS:0000016	samp_mat_process	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-2996-719X	dwc:samplingProtocol	dwcversion:samplingProtocol-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	dwc:samplingProtocol covers both of the concepts samp_collect_device and samp_collect_process. The object is narrower as the scope of the references in the MIxS field is limited; “The name of, reference to, or description of the method [...]” vs a specific ontology term. The information that this term and samp_collect_device capture is often captured in the method steps in the EML (metadata about the dataset, not indexed in GBIF’s case), and less in the DwC terms themselves. This influences how people will use the terms in reality.
dwc:sampleSizeValue	Sample Size Value	http://rs.tdwg.org/dwc/terms/Event	skos:broadMatch	MIXS:0000001	samp_size	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-2996-719X	dwc:sampleSizeValue	dwcversion:sampleSizeValue-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	dwc:sampleSizeValue requires the units of the measure to be given in dwc:sampleSizeUnit.
dwc:sampleSizeUnit	Sample Size Unit	http://rs.tdwg.org/dwc/terms/Event	skos:broadMatch	MIXS:0000001	samp_size	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-2996-719X	dwc:sampleSizeUnit	dwcversion:sampleSizeUnit-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	1	dwc:sampleSizeUnit  must accompany the measure given in dwc:sampleSizeValue.
dcterms:references	References	https://dwc.tdwg.org/list/#dcterms_references	skos:closeMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dcterms:references	dcversion:#references-003	MIXSversion:mixs_v5.xlsx	5	2021-02-09	0.5	This mapping is a guess, given that the MIxS url term does not have a definition provided. Current conversation on the MIxS issue tracker: https://github.com/GenomicsStandardsConsortium/mixs/issues/67.
dwc:associatedMedia	Associated Media	https://dwc.tdwg.org/list/#dwc_Occurrence	skos:closeMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:associatedMedia	dwcversion:associatedMedia-2020-08-12	MIXSversion:mixs_v5.xlsx	5	2021-04-12	0.5	This mapping is a guess, given that the MIxS url term does not have a definition provided. Current conversation on the MIxS issue tracker: https://github.com/GenomicsStandardsConsortium/mixs/issues/67.
dwc:associatedOccurrences	Associated Occurrences	https://dwc.tdwg.org/list/#dwc_Organism	skos:closeMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:associatedOccurrences	dwcversion:associatedOccurrences-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-12	0.5	This mapping is a guess, given that the MIxS url term does not have a definition provided. Current conversation on the MIxS issue tracker: https://github.com/GenomicsStandardsConsortium/mixs/issues/67.
dwc:associatedOrganisms	Associated Organisms	https://dwc.tdwg.org/list/#dwc_Organism	skos:closeMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:associatedOrganisms	dwcversion:associatedOrganisms-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-12	0.5	This mapping is a guess, given that the MIxS url term does not have a definition provided. Current conversation on the MIxS issue tracker: https://github.com/GenomicsStandardsConsortium/mixs/issues/67.
dwc:associatedReferences	Associated References	https://dwc.tdwg.org/list/#dwc_Occurrence	skos:closeMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:associatedReferences	dwcversion:associatedReferences-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-12	0.5	This mapping is a guess, given that the MIxS url term does not have a definition provided. Current conversation on the MIxS issue tracker: https://github.com/GenomicsStandardsConsortium/mixs/issues/67.
dwc:associatedSequences	Associated Sequences	https://dwc.tdwg.org/list/#dwc_Occurrence	skos:broadMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:associatedSequences	dwcversion:associatedSequences-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	0.5	This mapping is a guess, given that the MIxS url term does not have a definition provided. Current conversation on the MIxS issue tracker: https://github.com/GenomicsStandardsConsortium/mixs/issues/67. DwC expects only the identifiers (DOI to publication, global unique ID, URI) to associated taxa, while MIxS seems to expect a url to anything related
dwc:associatedTaxa	Associated Taxa	https://dwc.tdwg.org/list/#dwc_Occurrence	skos:broadMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:associatedTaxa	dwcversion:associatedTaxa-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-12-20	0.5	This mapping is a guess, given that the MIxS url term does not have a definition provided. Current conversation on the MIxS issue tracker: https://github.com/GenomicsStandardsConsortium/mixs/issues/67. DwC expects only the identifiers (DOI to publication, global unique ID, URI) to associated taxa, while MIxS seems to expect a url to anything related
