#This mapping was created following and expanding upon the SSSOM guidance: https://github.com/mapping-commons/SSSOM/blob/master/SSSOM.md
#dcterms:license: CC-BY
#version: Version 1
#creator_id:
#  - https://orcid.org/0000-0002-3237-4547
#  - https://orcid.org/0000-0002-4366-3088
#  - https://orcid.org/0000-0002-8083-6048
#  - https://orcid.org/0000-0001-9625-1899
#  - https://orcid.org/0000-0001-7087-2646
#  - https://orcid.org/0000-0002-2996-719X
#  - https://orcid.org/0000-0002-6601-2165
#  - https://orcid.org/0000-0002-4236-0384
#  - https://orcid.org/0000-0001-6215-3617
#  - https://orcid.org/0000-0003-1691-239X
#  - https://orcid.org/0000-0001-9401-8460
#  - https://orcid.org/0000-0003-3770-3714
#  - https://orcid.org/0000-0001-8815-0078
#  - https://orcid.org/0000-0003-1144-0290
#creator_name:
#  - Ward Appeltans
#  - Pier Luigi Buttigieg
#  - Mariya Dimitrova
#  - Willam D. Duncan
#  - Yi-Ming Gan
#  - Raïssa Meyer
#  - Christopher Mungall
#  - Pieter Provoost
#  - Tim Robertson
#  - Thomas Stjernegaard Jeppesen
#  - Saara Suominen
#  - Maxime Sweetlove
#  - Ramona L. Walls
#  - John Wieczorek
#curie_map:
#  - dwc: http://rs.tdwg.org/dwc/terms/
#  - dwcversion: http://rs.tdwg.org/dwc/terms/version/
#  - dcterms: http://purl.org/dc/terms/
#  - dcversion: http://dublincore.org/usage/terms/history/
#  - MIXS: https://w3id.org/gensc/terms/MIXS:
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs-legacy/blob/master/mixs5/
#  - orcid: https://orcid.org/
#  - skos: http://www.w3.org/2004/02/skos/core
subject_id	subject_label	subject_definition	subject_valueSyntax	subject_category	predicate_id	predicate_label	syntax_predicate_id	syntax_predicate_label	object_id	object_label	object_definition	object_valueSyntax	object_category	match_type	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	comment	syntax_comment
dwc:minimumDistanceAboveSurfaceInMeters	Minimum Distance Above Surface in Meters	The lesser distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.	 	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	narrow match to	skos:narrowMatch	narrow match to		alt	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth‚Äôs surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	{float} {unit}	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:minimumDistanceAboveSurfaceInMeters	dwcversion:minimumDistanceAboveSurfaceInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	A range of altitude can be captured in the combination of the terms dwc:minimumDistanceAboveSurfaceInMeters and dwc:maximumDistanceAbveSurfaceInMeters. If a single value is given, the same value should be used in both DwC terms.	Not sure, MIxS expects {float} {unit}, DwC gives examples for both - {float} and {float} {unit}
dwc:maximumDistanceAboveSurfaceInMeters	Maximum Distance Above Surface in Meters	The greater distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.	 	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	narrow match to	skos:narrowMatch	narrow match to		alt	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth‚Äôs surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	{float} {unit}	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:maximumDistanceAboveSurfaceInMeters	dwcversion:maximumDistanceAboveSurfaceInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	A range of altitude can be captured in the combination of the terms dwc:minimumDistanceAboveSurfaceInMeters and dwc:maximumDistanceAbveSurfaceInMeters. If a single value is given, the same value should be used in both DwC terms.	Not sure, MIxS expects {float} {unit}, DwC gives examples for both - {float} and {float} {unit}
dwc:verbatimElevation	Verbatim Elevation	The original description of the elevation (altitude, usually above sea level) of the Location.	verbatim	https://dwc.tdwg.org/list/#dcterms_Location	skos:exactMatch	exact match to	skos:relatedMatch	related match to	MIXS:0000093	elev	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	{float} {unit}	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:verbatimElevation	dwcversion:verbatimElevation-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09		The DwC term expects verbatim input (so anything really), whereas MIxS expects {float} {unit} in meter
dwc:minimumElevationInMeters	Minimum Elevation in Meters	The lower limit of the range of elevation (altitude, usually above sea level), in meters.		https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	narrow match to	skos:narrowMatch	narrow match to	MIXS:0000093	elev	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	{float} {unit}	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:minimumElevationInMeters	dwcversion:minimumElevationInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-03-30		The DwC example does not include a unit, only a {float}, while MIxS expects the input to be {float} {unit}
dwc:maximumElevationInMeters	Maximum Elevation in Meters	The upper limit of the range of elevation (altitude, usually above sea level), in meters.		https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	narrow match to	skos:narrowMatch	narrow match to	MIXS:0000093	elev	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	{float} {unit}	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:maximumElevationInMeters	dwcversion:maximumElevationInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-03-30		The DwC example does not include a unit, only a {float}, while MIxS expects the input to be {float} {unit}
dwc:country	Country	The name of the country or major administrative unit in which the Location occurs.	 	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	broad match to	skos:relatedMatch	related match to	MIXS:0000010	geo_loc_name	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512) (http://purl.bioontology.org/ontology/GAZ)	{term};{term};{text}	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:country	dwcversion:country-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-01-29	the MIxS term includes both seas and countries, while DwC only refers to the country	The DwC example only expects one word, while MIxS expects two words (country or sea name + specific region name). Additionally MIxS expects terms from an ontology where appropriate, for which the input would not only be a word but a termLabel[termID] combination
dwc:waterBody	Water Body	The name of the water body in which the Location occurs.		https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	broad match to	skos:relatedMatch	related match to	MIXS:0000010	geo_loc_name	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512) (http://purl.bioontology.org/ontology/GAZ)	{term};{term};{text}	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:waterBody	dwcversion:waterBody-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-05-12	the MIxS term includes both seas and countries, while DwC only refers to the sea.	The DwC example only expects one sea identifier, while MIxS expects an additional word (country or sea name + specific region name). Additionally, MIxS expects terms from an ontology where appropriate, for which the input would not only be a word but a termLabel[termID] combination
dwc:higherGeography	Higher Geography	A list (concatenated and separated) of geographic names less specific than the information captured in the locality term.	 	https://dwc.tdwg.org/list/#dcterms_Location	skos:exactMatch	exact match to	skos:relatedMatch	related match to	MIXS:0000010	geo_loc_name	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (v 1.512) (http://purl.bioontology.org/ontology/GAZ)	{term};{term};{text}	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:higherGeography	dwcversion:higherGeography-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	DwC term encompasses any combination of geographic region names, while the MIxS term may either be the name of a country or a sea, followed by additional region information	DwC expects a list (of undefined length) of values separated by a vertical bar space  "|", while MIxS expects two words (country or sea name + specific region name). Additionally MIxS expects terms from an ontology where appropriate, for which the input would not only be a word but a termLabel[termID] combination
dwc:eventDate	Event Date	The date-time or interval during which an Event occurred. For occurrences, this is the date-time when the event was recorded. Not suitable for a time in a geological context.	 	http://rs.tdwg.org/dwc/terms/Event	skos:narrowMatch	narrow match to	skos:exactMatch	exact match to	MIXS:0000011	collection_date	The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant	{timestamp}	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:eventDate	dwcversion:eventDate-2020-08-12	MIXSversion:mixs_v5.xlsx	5	2021-02-09	Events are semantically broader than sampling events (e.g. they could include observations too)	DwC requests compliance with ISO 8601-1:2019, so does MIxS
dwc:materialSampleID	Material Sample ID	An identifier for the MaterialSample (as opposed to a particular digital record of the material sample). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the materialSampleID globally unique.	 	http://rs.tdwg.org/dwc/terms/MaterialSample	skos:exactMatch	exact match to	skos:exactMatch	exact match to	MIXS:0000026	source_mat_id	A unique identifier assigned to a material sample (as defined by http://rs.tdwg.org/dwc/terms/materialSampleID, and as opposed to a particular digital record of a material sample) used for extracting nucleic acids, and subsequent sequencing. The identifier can refer either to the original material collected or to any derived sub-samples. The INSDC qualifiers /specimen_voucher, /bio_material, or /culture_collection may or may not share the same value as the source_mat_id field. For instance, the /specimen_voucher qualifier and source_mat_id may both contain 'UAM:Herps:14' , referring to both the specimen voucher and sampled tissue with the same identifier. However, the /culture_collection qualifier may refer to a value from an initial culture (e.g. ATCC:11775) while source_mat_id would refer to an identifier from some derived culture from which the nucleic acids were extracted (e.g. xatc123 or ark:/2154/R2).	{text}	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:materialSampleID	dwcversion:materialSampleID-2020-10-28	MIXSversion:mixs_v5.xlsx	5	2021-02-09		Both expect a mix of letters, numbers, etc.
dwc:associatedOrganisms	Associated Organisms	A list (concatenated and separated) of identifiers of other Organisms and their associations to this Organism.	 	http://rs.tdwg.org/dwc/terms/Organism	skos:broadMatch	broad match to	skos:relatedMatch	related match to	MIXS:0000028	biotic_relationship	Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object	[free living|parasitism|commensalism|symbiotic|mutualism]	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:associatedOrganisms	dwcversion:associatedOrganisms-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	The range of the MIxS examples is [free living|parasitism|commensalism|symbiotic|mutualism]. While the expectation created by the MIxS definition [parasite on species X; mutualist with species Y] would exactly match the DwC term, the examples given by MIxS do not. We’ve opened an issue requesting this mismatch to be fixed on the GSC/MIxS issue tracker: https://github.com/GenomicsStandardsConsortium/mixs/issues/168. Focusing on the MIxS value syntax, it seems that the MIxS term is broader than the DwC term, as the latter will be more precise in any arbitrary case. E.g. Some worm is a parasite of a clam: DwC would capture parasite of clam, while MIxS would capture parasite of. One could also capture relationships with more metadata about the assertion using the ResourceRelationship extension to Darwin Core.	DwC expects a list of terms and corresponding identifiers, while MIxS only expects a list of terms
dwc:samplingProtocol	Sampling Protocol	The name of, reference to, or description of the method or protocol used during an Event.	 	http://rs.tdwg.org/dwc/terms/Event	skos:broadMatch	broad match to	skos:relatedMatch	related match to	MIXS:0000002	samp_collect_device	The method or device employed for collecting the sample	{text}	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:samplingProtocol	dwcversion:samplingProtocol-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	dwc:samplingProtocol covers both of the concepts samp_collect_device and samp_collect_process. Both of these terms list both, the names of (or links to) methods, or devices (either in the definition or in the examples). Based on the examples these could be skos:exactMatch, focusing on the definition, skos:broadMatch would be appropriate. The information that this term and the samp_mat_process capture is often captured in the method steps in the EML (metadata about the dataset, not indexed in GBIF’s case), and less in the DwC terms themselves. This influences how people will use the terms in reality.	DwC expects the name of, reference to, or description (which could also include a URI, IRI, etc.), while MIxS only expects a label
dwc:samplingProtocol	Sampling Protocol	The name of, reference to, or description of the method or protocol used during an Event.	 	http://rs.tdwg.org/dwc/terms/Event	skos:narrowMatch	narrow match to	skos:relatedMatch	related match to	MIXS:0000016	samp_mat_process	Any processing applied to the sample during or after retrieving the sample from environment. This field accepts OBI, for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI	{text}|{termLabel} {[termID]}	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:samplingProtocol	dwcversion:samplingProtocol-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	dwc:samplingProtocol covers both of the concepts samp_collect_device and samp_collect_process. The object is narrower as it specifies that it has to be “after the sample was taken” vs anytime; and the “The name of, reference to, or description of the method [...]” vs a specific ontology term. The information that this term and samp_collect_device capture is often captured in the method steps in the EML (metadata about the dataset, not indexed in GBIF’s case), and less in the DwC terms themselves. This influences how people will use the terms in reality.	DwC expects the name of, reference to, or description (which could also include a URI, IRI, etc.), while MIxS expects terms from an ontology where appropriate, for which the input would not only be a word but a termLabel[termID] combination
dwc:sampleSizeValue	Sample Size Value	A numeric value for a measurement of the size (time duration, length, area, or volume) of a sample in a sampling event.	 	http://rs.tdwg.org/dwc/terms/Event	skos:broadMatch	broad match to	skos:relatedMatch	related match to	MIXS:0000001	samp_size	Amount or size of sample (volume, mass or area) that was collected	{float} {unit}	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:sampleSizeValue	dwcversion:sampleSizeValue-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	dwc:sampleSizeValue requires the units of the measure to be given in dwc:sampleSizeUnit.	MIxS expects {float} {unit}, while DwC only expects {float}
dwc:sampleSizeUnit	Sample Size Unit	The unit of measurement of the size (time duration, length, area, or volume) of a sample in a sampling event.	 	http://rs.tdwg.org/dwc/terms/Event	skos:broadMatch	broad match to	skos:relatedMatch	related match to	MIXS:0000001	samp_size	Amount or size of sample (volume, mass or area) that was collected	{float} {unit}	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:sampleSizeUnit	dwcversion:sampleSizeUnit-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	dwc:sampleSizeUnit  must accompany the measure given in dwc:sampleSizeValue.	MIxS expects {float} {unit}, while DwC only expects {unit}
dcterms:references	References	A related resource that is referenced, cited, or otherwise pointed to by the described resource.	 	https://dwc.tdwg.org/list/#dcterms_references	skos:closeMatch	close match to	skos:exactMatch	exact match to	MIXS:0000091	url		{URL}	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dcterms:references	dcversion:#references-003	MIXSversion:mixs_v5.xlsx	5	2021-02-09	This mapping is a guess, given that the MIxS url term does not have a definition provided. Current conversation on the MIxS issue tracker: https://github.com/GenomicsStandardsConsortium/mixs/issues/67.	
dwc:associatedMedia	Associated Media	A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the Occurrence.	 	https://dwc.tdwg.org/list/#dwc_Occurrence	skos:closeMatch	close match to	skos:exactMatch	exact match to	MIXS:0000091	url		{URL}	MIxS core	HumanCurated	orcid:0000-0002-2996-719X 	dwc:associatedMedia	dwcversion:associatedMedia-2020-08-12	MIXSversion:mixs_v5.xlsx	5	2021-04-12	This mapping is a guess, given that the MIxS url term does not have a definition provided. Current conversation on the MIxS issue tracker: https://github.com/GenomicsStandardsConsortium/mixs/issues/67.	
dwc:associatedOccurrences	Associated Occurrences	A list (concatenated and separated) of identifiers of other Occurrence records and their associations to this Occurrence.		https://dwc.tdwg.org/list/#dwc_Organism	skos:closeMatch	close match to	skos:exactMatch	exact match to	MIXS:0000091	url		{URL}	MIxS core	HumanCurated	orcid:0000-0002-2996-719X 	dwc:associatedOccurrences	dwcversion:associatedOccurrences-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-12	This mapping is a guess, given that the MIxS url term does not have a definition provided. Current conversation on the MIxS issue tracker: https://github.com/GenomicsStandardsConsortium/mixs/issues/67.	
